1980-12-12,0.513393,0.515625,0.513393,0.513393,117258400
1980-12-15,0.486607,0.488839,0.488839,0.486607,43971200
1980-12-16,0.450893,0.453125,0.453125,0.450893,26432000
1980-12-17,0.462054,0.464286,0.462054,0.462054,21610400
1980-12-18,0.475446,0.477679,0.475446,0.475446,18362400
1980-12-19,0.504464,0.506696,0.504464,0.504464,12157600
1980-12-22,0.529018,0.53125,0.529018,0.529018,9340800
1980-12-23,0.551339,0.553571,0.551339,0.551339,11737600
1980-12-24,0.580357,0.582589,0.580357,0.580357,12000800
1980-12-26,0.633929,0.636161,0.633929,0.633929,13893600
1980-12-29,0.642857,0.645089,0.642857,0.642857,23290400
1980-12-30,0.627232,0.629464,0.629464,0.627232,17220000
1980-12-31,0.609375,0.611607,0.611607,0.609375,8937600
1981-01-02,0.616071,0.620536,0.616071,0.616071,5415200
1981-01-05,0.602679,0.604911,0.604911,0.602679,8932000
1981-01-06,0.575893,0.578125,0.578125,0.575893,11289600
1981-01-07,0.551339,0.553571,0.553571,0.551339,13921600
1981-01-08,0.540179,0.542411,0.542411,0.540179,9956800
1981-01-09,0.569196,0.571429,0.569196,0.569196,5376000
1981-01-12,0.564732,0.569196,0.569196,0.564732,5924800
1981-01-13,0.544643,0.546875,0.546875,0.544643,5762400
1981-01-14,0.546875,0.549107,0.546875,0.546875,3572800
1981-01-15,0.558036,0.5625,0.558036,0.558036,3516800
1981-01-16,0.553571,0.555804,0.555804,0.553571,3348800
1981-01-19,0.587054,0.589286,0.587054,0.587054,10393600
1981-01-20,0.569196,0.571429,0.571429,0.569196,7520800
1981-01-21,0.580357,0.584821,0.580357,0.580357,3976000
1981-01-22,0.587054,0.591518,0.587054,0.587054,8887200
1981-01-23,0.584821,0.589286,0.587054,0.584821,2805600
1981-01-26,0.575893,0.578125,0.578125,0.575893,6160000
1981-01-27,0.571429,0.575893,0.575893,0.571429,5924800
1981-01-28,0.553571,0.555804,0.555804,0.553571,7039200
1981-01-29,0.533482,0.535714,0.535714,0.533482,10976000
1981-01-30,0.504464,0.508929,0.508929,0.504464,11547200
1981-02-02,0.475446,0.477679,0.477679,0.475446,5941600
1981-02-03,0.493304,0.495536,0.493304,0.493304,4788000
1981-02-04,0.511161,0.513393,0.511161,0.511161,6966400
1981-02-05,0.511161,0.515625,0.511161,0.511161,1982400
